compartment,pathway,overlap,pathway_size,p_value,p_adj
endothelial,HALLMARK_MYC_TARGETS_V1,41,168,5.201646804176418e-6,2.600823402088209e-4
endothelial,HALLMARK_APICAL_JUNCTION,25,102,3.312817934847805e-4,0.008282044837119511
endothelial,HALLMARK_CHOLESTEROL_HOMEOSTASIS,12,41,0.002418306064445615,0.030228825805570188
endothelial,HALLMARK_COAGULATION,19,79,0.0021073945577240252,0.030228825805570188
endothelial,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,28,142,0.005274327256311563,0.05274327256311563
endothelial,HALLMARK_MYOGENESIS,21,103,0.009977137702435449,0.08314281418696208
endothelial,HALLMARK_IL2_STAT5_SIGNALING,22,127,0.048481612877029553,0.3462972348359254
endothelial,HALLMARK_ADIPOGENESIS,23,140,0.07308781835029964,0.4014733058221715
endothelial,HALLMARK_DNA_REPAIR,16,92,0.08116764878131164,0.4014733058221715
endothelial,HALLMARK_HEDGEHOG_SIGNALING,4,15,0.09635359339732115,0.4014733058221715
endothelial,HALLMARK_MYC_TARGETS_V2,7,31,0.0708438878517221,0.4014733058221715
endothelial,HALLMARK_P53_PATHWAY,21,129,0.09048556932459345,0.4014733058221715
endothelial,HALLMARK_E2F_TARGETS,16,97,0.116795165228307,0.4441844372010667
endothelial,HALLMARK_HYPOXIA,20,127,0.12437164241629867,0.4441844372010667
endothelial,HALLMARK_ESTROGEN_RESPONSE_LATE,16,100,0.1420286208070676,0.4650353693386127
macrophage_monocyte,HALLMARK_OXIDATIVE_PHOSPHORYLATION,64,160,1.020186336977495e-14,5.100931684887475e-13
macrophage_monocyte,HALLMARK_FATTY_ACID_METABOLISM,36,99,1.4096006888209918e-7,3.5240017220524794e-6
macrophage_monocyte,HALLMARK_ADIPOGENESIS,40,140,3.0366619325391315e-5,3.795827415673914e-4
macrophage_monocyte,HALLMARK_PEROXISOME,21,55,2.4336169627315766e-5,3.795827415673914e-4
macrophage_monocyte,HALLMARK_CHOLESTEROL_HOMEOSTASIS,17,41,4.195926503705714e-5,4.1959265037057135e-4
macrophage_monocyte,HALLMARK_COAGULATION,26,79,5.73298106583793e-5,4.7774842215316085e-4
macrophage_monocyte,HALLMARK_XENOBIOTIC_METABOLISM,31,103,8.076696803681358e-5,5.769069145486685e-4
macrophage_monocyte,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,15,37,1.6064160473105497e-4,0.0010040100295690935
macrophage_monocyte,HALLMARK_BILE_ACID_METABOLISM,16,45,5.753457960232932e-4,0.0031963655334627398
macrophage_monocyte,HALLMARK_ESTROGEN_RESPONSE_LATE,28,100,6.553329492019722e-4,0.003276664746009861
macrophage_monocyte,HALLMARK_GLYCOLYSIS,25,109,0.019598506753913114,0.08908412160869598
macrophage_monocyte,HALLMARK_ANGIOGENESIS,9,29,0.02346336846600398,0.09776403527501659
macrophage_monocyte,HALLMARK_P53_PATHWAY,25,129,0.11176023860157203,0.4298470715445078
macrophage_monocyte,HALLMARK_DNA_REPAIR,18,92,0.14876434069986325,0.5063612428523171
macrophage_monocyte,HALLMARK_INTERFERON_ALPHA_RESPONSE,14,69,0.1519083728556951,0.5063612428523171
mesenchymal_HSC_myofibroblast,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,84,142,1.5650941892411024e-27,7.825470946205512e-26
mesenchymal_HSC_myofibroblast,HALLMARK_COAGULATION,36,79,2.7195107598690624e-8,6.798776899672656e-7
mesenchymal_HSC_myofibroblast,HALLMARK_GLYCOLYSIS,37,109,7.927061817669562e-5,0.0013211769696115938
mesenchymal_HSC_myofibroblast,HALLMARK_HYPOXIA,39,127,5.487912491758717e-4,0.006859890614698397
mesenchymal_HSC_myofibroblast,HALLMARK_APICAL_JUNCTION,32,102,0.0011235577825593353,0.011235577825593354
mesenchymal_HSC_myofibroblast,HALLMARK_IL2_STAT5_SIGNALING,35,127,0.007444163683061143,0.062034697358842865
mesenchymal_HSC_myofibroblast,HALLMARK_INTERFERON_ALPHA_RESPONSE,21,69,0.010959043710592874,0.07827888364709197
mesenchymal_HSC_myofibroblast,HALLMARK_COMPLEMENT,35,134,0.01741566846856039,0.10390323853516219
mesenchymal_HSC_myofibroblast,HALLMARK_XENOBIOTIC_METABOLISM,28,103,0.018702582936329194,0.10390323853516219
mesenchymal_HSC_myofibroblast,HALLMARK_MYC_TARGETS_V2,10,31,0.047097137153085486,0.23548568576542744
mesenchymal_HSC_myofibroblast,HALLMARK_ANGIOGENESIS,9,29,0.07254351749798246,0.28534494218765216
mesenchymal_HSC_myofibroblast,HALLMARK_KRAS_SIGNALING_UP,27,111,0.07418968496878955,0.28534494218765216
mesenchymal_HSC_myofibroblast,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,11,37,0.0661420626193336,0.28534494218765216
mesenchymal_HSC_myofibroblast,HALLMARK_APICAL_SURFACE,7,22,0.09576242334628433,0.29925757295713856
mesenchymal_HSC_myofibroblast,HALLMARK_FATTY_ACID_METABOLISM,24,99,0.09120635916667082,0.29925757295713856
